CRAMERFLAGS,Cramer rules,cdk:Title,toxTree.tree.cramer.CramerTreeResult,SMILES
,High (Class III),,"1N,2N,3Y,4N",C(#N)[Fe-4](C#N)(C#N)(C#N)(C#N)C#N.C(#N)[Fe-4](C#N)(C#N)(C#N)(C#N)C#N.C(#N)[Fe-4](C#N)(C#N)(C#N)(C#N)C#N.[Fe+3].[Fe+3].[Fe+3].[Fe+3]
,Intermediate (Class II),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28N,30N,18Y",C([H])([H])([H])[C@@]([H])([C@]([H])(C1=C([H])C([H])=C([H])C([H])=C1[H])O[H])N([H])C([H])([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])N1C([H])([H])C([H])([H])C([H])([H])N=C1/C(/[H])=C(\[H])/C2=C([H])C([H])=C([H])S2
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C1([H])=NC([H])=C(C(=O)N([H])[H])N=C1[H]
,High (Class III),,"1N,2Y",C([H])([H])([H])N(C([H])([H])[H])C(=O)OC1=C([H])C([H])=C([H])[N+](=C1[H])C([H])([H])[H]
,Low (Class I),,1Y,C([H])([H])([H])C1=C(C(=C(C([H])=N1)C([H])([H])OP(=O)(O[H])O[H])C([H])=O)O[H]
,Low (Class I),,1Y,C([H])([H])([H])C1=C(C(=C(C([H])=N1)C([H])([H])O[H])C([H])([H])O[H])O[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C([H])([H])C1=NC(=NC(=C1C2=C([H])C([H])=C(C([H])=C2[H])Cl)N([H])[H])N([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C1([H])=C([H])C(=[N+](C([H])=C1[H])[O-])S[H]
,Low (Class I),,1Y,O([H])P(=O)(O[H])OP(=O)(O[H])O[H]
,Low (Class I),,1Y,C([H])([H])([H])C(=O)C(=O)O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C1=C([H])C(=C(C([H])([H])[H])N1C2=C([H])C([H])=C([H])C([H])=C2[H])/C(/[H])=C(\[H])/C3=C([H])C([H])=C4C([H])=C(C([H])=C([H])C4=[N+]3C([H])([H])[H])N(C([H])([H])[H])C([H])([H])[H]
,High (Class III),,"1N,2Y",C([H])(=C([H])Cl)C([H])([H])[N+]12C([H])([H])N3C([H])([H])N(C([H])([H])N(C3([H])[H])C1([H])[H])C2([H])[H].[Cl-]
,High (Class III),,"1N,2N,3Y,4N",C1([H])=C([H])C(=C(C([H])=C1[H])F)C2=NC([H])([H])C(=S)N(C([H])([H])C(F)(F)F)C3=C2C([H])=C(C([H])=C3[H])Cl
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C1([H])=C([H])C([H])=C2C(=C1[H])C(=NC3=C(C([H])=C([H])C([H])=C3[H])S2)N4C([H])([H])C([H])([H])N(C([H])([H])C4([H])[H])C([H])([H])C([H])([H])OC([H])([H])C([H])([H])O[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C([H])([H])C([H])([H])N1C([H])([H])[C@]([H])(C([H])([H])[C@]2([H])C([H])([H])C3=C(C([H])=C([H])C([H])=C3C([H])([H])[C@]21[H])O[H])N([H])S(=O)(=O)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C([H])([H])OC(=O)[C@]([H])(C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])N([H])[C@@]([H])(C([H])([H])[H])C(=O)N2C([H])([H])C3=C(C([H])=C([H])C([H])=C3[H])C([H])([H])[C@@]2([H])C(=O)O[H]
,Low (Class I),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28N,30N,18N",C([H])#C[C@@]1(C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=C([H])C([H])=C4[C@@]3([H])C([H])([H])C([H])([H])[C@@]21C([H])([H])[H])OC5([H])C([H])([H])C([H])([H])C([H])([H])C5([H])[H])O[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C([H])([H])C1([H])N([H])C2=C(C([H])=C(C(=C2[H])Cl)S(=O)(=O)N([H])[H])C(=O)N1[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])=C([H])[C@@]1([H])C([H])([H])N2C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])[C@]2([H])[C@]([H])(C3=C4C([H])=C(C([H])=C([H])C4=NC([H])=C3[H])OC([H])([H])[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])=C([H])C1([H])C([H])([H])N2C([H])([H])C([H])([H])C1([H])C([H])([H])C2([H])C([H])(C3=C4C([H])=C(C([H])=C([H])C4=NC([H])=C3[H])OC([H])([H])[H])O[H].C([H])([H])([H])C([H])([H])C1(C2=C([H])C([H])=C([H])C([H])=C2[H])C(=O)N([H])C(=O)N([H])C1=O
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])=C([H])[C@@]1([H])C([H])([H])N2C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])[C@@]2([H])[C@@]([H])(C3=C4C([H])=C(C([H])=C([H])C4=NC([H])=C3[H])OC([H])([H])[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C1([H])=C([H])C2=C(C([H])=C1[H])N(C3=C(C([H])=C([H])C([H])=C3[H])C([H])([H])C2([H])[H])C4([H])C([H])([H])N5C([H])([H])C([H])([H])C4([H])C([H])([H])C5([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C([H])([H])[C@]1([H])C(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])C(=O)N(C([H])([H])[H])[C@@]([H])(C([H])([H])C3=C([H])C([H])=C(C([H])=C3[H])N(C([H])([H])[H])C([H])([H])[H])C(=O)N4C([H])([H])[C@@]([H])(C([H])([H])S[C@]5([H])C([H])([H])N6C([H])([H])C([H])([H])C5([H])C([H])([H])C6([H])[H])C(=O)C([H])([H])[C@@]4([H])C(=O)N([H])[C@@]([H])(C7=C([H])C([H])=C([H])C([H])=C7[H])C(=O)O[C@]([H])(C([H])([H])[H])[C@@]([H])(C(=O)N1[H])N([H])C(=O)C8=NC([H])=C([H])C([H])=C8O[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C1=C(C([H])([H])S(=O)C2=NC3=C(C([H])=C([H])C([H])=C3[H])N2[H])N=C([H])C([H])=C1OC([H])([H])C([H])([H])C([H])([H])OC([H])([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7N,16N,17N,19Y,20Y,21Y",C([H])([H])([H])SC([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H]
,Intermediate (Class II),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28N,30N,18Y",C([H])([H])([H])[C@]([H])([C@]([H])(C1=C([H])C([H])=C([H])C([H])=C1[H])O[H])N([H])C([H])([H])[H]
,High (Class III),,"1N,2N,3Y,4N",[Cl-].[Cl-].[223Ra+2]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C1([H])([H])C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])C([H])([H])C([H])([H])OC2=C([H])C([H])=C(C([H])=C2[H])C(=O)C3=C(C4=C([H])C([H])=C(C([H])=C4[H])O[H])SC5=C3C([H])=C([H])C(=C5[H])O[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C1=NN=C(C(=O)N([H])C(C([H])([H])[H])(C([H])([H])[H])C2=NC(=C(C(=O)N2C([H])([H])[H])O[H])C(=O)N([H])C([H])([H])C3=C([H])C([H])=C(C([H])=C3[H])F)O1
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C1=NC(=O)C2=C([H])C(=C([H])C([H])=C2N1[H])C([H])([H])N(C([H])([H])[H])C3=C([H])C([H])=C(C(=O)N([H])[C@@]([H])(C([H])([H])C([H])([H])C(=O)O[H])C(=O)O[H])S3
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])[C@]1([H])C([H])([H])C([H])([H])C2=C([H])C([H])=C3C(=C21)C([H])([H])C([H])([H])O3
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C([H])([H])OC(=O)[C@]([H])(C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])N([H])[C@@]([H])(C([H])([H])[H])C(=O)N2[C@@]3([H])C([H])([H])C([H])([H])C([H])([H])[C@@]3([H])C([H])([H])[C@@]2([H])C(=O)O[H]
,High (Class III),,"1N,2Y",C([H])([H])([H])N([H])C(=C([H])[N+](=O)[O-])N([H])C([H])([H])C([H])([H])SC([H])([H])C1=C([H])C([H])=C(C([H])([H])N(C([H])([H])[H])C([H])([H])[H])O1
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C1=C([H])C([H])=C([H])C(=C1N([H])C(=O)C([H])([H])N2C([H])([H])C([H])([H])N(C([H])([H])C2([H])[H])C([H])([H])C([H])(C([H])([H])OC3=C(C([H])=C([H])C([H])=C3[H])OC([H])([H])[H])O[H])C([H])([H])[H]
,High (Class III),,"1N,2Y",C([H])([H])=C([H])C([H])([H])[N+]1(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])[C@@]2([H])C([H])([H])[C@@]3([H])[C@]4([H])C([H])([H])C([H])([H])[C@@]5([H])C([H])([H])[C@@]([H])([C@]([H])(C([H])([H])[C@]5(C([H])([H])[H])[C@@]4([H])C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])[C@@]2([H])OC(=O)C([H])([H])C([H])([H])[H])N6C([H])([H])C([H])([H])C([H])([H])C([H])([H])C6([H])[H])OC(=O)C([H])([H])[H]
,Low (Class I),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28N,30N,18N",C([H])#CC([H])([H])N([H])[C@]1([H])C([H])([H])C([H])([H])C2=C1C([H])=C([H])C([H])=C2[H]
,High (Class III),,"1N,2N,3Y,4N",C1([H])=C([H])C2=C(C([H])=C1[H])N([H])C(=O)C([H])=C2C([H])([H])C([H])(C(=O)O[H])N([H])C(=O)C3=C([H])C([H])=C(C([H])=C3[H])Cl
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C([H])([H])OC1=C(C([H])=C([H])C([H])=C1[H])O[C@]([H])(C2=C([H])C([H])=C([H])C([H])=C2[H])[C@@]3([H])C([H])([H])N([H])C([H])([H])C([H])([H])O3
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])N([H])C(=O)C1=C([H])N(C2=NC3=C(C(=N2)N([H])[H])N=C([H])N3[C@@]4([H])[C@@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O4)O[H])O[H])N=C1[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])N([H])C(=O)C1=C([H])C(=C([H])C([H])=N1)OC2=C([H])C([H])=C(C(=C2[H])F)N([H])C(=O)N([H])C3=C([H])C([H])=C(C(=C3[H])C(F)(F)F)Cl
,High (Class III),,"1N,2N,3Y,4N",C1([H])([H])C([H])([H])[C@@]([H])(C(=O)N([H])C2([H])C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])N3C([H])([H])[C@]1([H])N(C3=O)OS(=O)(=O)O[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])N(C([H])([H])[H])C([H])([H])C1=C(C2=C([H])C([H])=C(C([H])=C2[H])N([H])C(=O)N([H])OC([H])([H])[H])SC3=C1C(=O)N(C4=C([H])C([H])=C(N=N4)OC([H])([H])[H])C(=O)N3C([H])([H])C5=C(C([H])=C([H])C([H])=C5F)F
,High (Class III),,"1N,2Y",C([H])([H])([H])C([H])([H])C([H])(C([H])([H])C([H])([H])[H])C([H])([H])OC(=O)[C@]([H])(C([H])([H])[H])N([H])[P@](=O)(OC([H])([H])[C@]1([H])[C@]([H])([C@]([H])([C@](C#N)(C2=C([H])C([H])=C3C(=NC([H])=NN32)N([H])[H])O1)O[H])O[H])OC4=C([H])C([H])=C([H])C([H])=C4[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C([H])([H])C(=O)N(C1=C([H])C([H])=C([H])C([H])=C1[H])C2(C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])C(=O)OC([H])([H])[H])C([H])([H])C2([H])[H])C(=O)OC([H])([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C1=C([H])N=C2[C@]([H])(C([H])([H])C([H])([H])C(=O)OC([H])([H])[H])N=C(C3=C(C([H])=C([H])C(=C3[H])Br)N12)C4=NC([H])=C([H])C([H])=C4[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])N([H])C(=O)C2=C(C(=C([H])C([H])=C2OC([H])([H])[H])Br)OC([H])([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C([H])([H])OC1=C([H])C(=C([H])C([H])=C1C(=O)O[H])C([H])([H])C(=O)N([H])[C@@]([H])(C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C2=C(C([H])=C([H])C([H])=C2[H])N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])OC1=C([H])C2=C(C([H])=C1[H])C3=C([C@@]4([H])C([H])([H])[C@@]5([H])[C@]([H])(C([H])([H])[C@]([H])([C@@]([H])([C@@]5([H])C(=O)OC([H])([H])[H])OC([H])([H])[H])OC(=O)C([H])=C([H])C6=C([H])C(=C(C(=C6[H])OC([H])([H])[H])OC([H])([H])[H])OC([H])([H])[H])C([H])([H])N4C([H])([H])C3([H])[H])N2[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])OC1=C([H])C2=C(C([H])=C1[H])C3=C([C@@]4([H])C([H])([H])[C@@]5([H])[C@]([H])(C([H])([H])[C@]([H])([C@@]([H])([C@@]5([H])C(=O)OC([H])([H])[H])OC([H])([H])[H])OC(=O)C6=C([H])C(=C(C(=C6[H])OC([H])([H])[H])OC([H])([H])[H])OC([H])([H])[H])C([H])([H])N4C([H])([H])C3([H])[H])N2[H]
,Low (Class I),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28N,30N,18N",C1([H])=C([H])C(=C([H])C(=C1[H])O[H])O[H]
,Low (Class I),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28N,30N,18N",C([H])([H])([H])C(=O)OC1=C([H])C(=C([H])C([H])=C1[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11N,12N,22N,33N",C([H])([H])=C([H])[C@]1(C([H])([H])[H])C([H])([H])[C@]([H])([C@]2(C([H])([H])[H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[C@]3(C([H])([H])C([H])([H])C(=O)[C@@]23[H])[C@@]([H])(C([H])([H])[H])[C@]1([H])O[H])OC(=O)C([H])([H])S[C@]4([H])C([H])([H])[C@@]5([H])C([H])([H])C([H])([H])[C@@]([H])(C4([H])[H])N5C([H])([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])N(C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])C([H])(C([H])([H])C1([H])[H])OC(=O)N([H])C2=C(C([H])=C([H])C([H])=C2[H])C3=C([H])C([H])=C([H])C([H])=C3[H])C(=O)C4=C([H])C([H])=C(C([H])=C4[H])C([H])([H])N5C([H])([H])C([H])([H])C([H])(C([H])([H])C5([H])[H])C(=O)N([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([C@]1([H])[C@]([H])([C@]([H])([C@]([H])(N2C([H])=NC(=N2)C(=O)N([H])[H])O1)O[H])O[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])N(C([H])([H])[H])C(=O)C1=C([H])C2=C(N=C(N=C2[H])N([H])C3=C([H])C([H])=C(C([H])=N3)N4C([H])([H])C([H])([H])N([H])C([H])([H])C4([H])[H])N1C5([H])C([H])([H])C([H])([H])C([H])([H])C5([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C1=C([H])C2=C(C([H])=C1C([H])([H])[H])N(C([H])([H])[C@@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O[H])O[H])O[H])C3=NC(=O)N([H])C(=O)C3=N2
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C1([H])([H])[C@]([H])([C@@]([H])([C@]([H])([C@@]([H])([C@@]1([H])N([H])[H])O[C@]2([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])N([H])[H])O2)O[H])O[H])N([H])[H])O[C@@]3([H])[C@@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O3)O[H])O[H])O[H])N([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C([H])(C([H])([H])[H])C([H])([H])N1C([H])([H])C([H])([H])C2(C([H])([H])C1([H])[H])N=C3C4=C5C6=C(C([H])([H])[H])C(=C4C(=O)C(=C3N2[H])N([H])C(=O)/C(=C(/[H])\C(\[H])=C(/[H])\[C@]([H])(C([H])([H])[H])[C@@]([H])([C@@]([H])(C([H])([H])[H])[C@]([H])([C@@]([H])(C([H])([H])[H])[C@@]([H])([C@]([H])(C([H])([H])[H])[C@]([H])(\C(\[H])=C(/[H])\O[C@](C([H])([H])[H])(C5=O)O6)OC([H])([H])[H])OC(=O)C([H])([H])[H])O[H])O[H])/C([H])([H])[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])[C@@]1([H])/C(/[H])=C(\[H])/C(/[H])=C(/C([H])([H])[H])\C(=O)N([H])C2=C(C3=C(C(=C4C(=C3C(=C2/C(/[H])=N/N5C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C5([H])[H])O[H])C(=O)[C@@](C([H])([H])[H])(O/C(/[H])=C(\[H])/[C@@]([H])([C@@]([H])(C([H])([H])[H])[C@]([H])([C@]([H])(C([H])([H])[H])[C@@]([H])([C@]([H])(C([H])([H])[H])[C@@]1([H])O[H])O[H])OC(=O)C([H])([H])[H])OC([H])([H])[H])O4)C([H])([H])[H])O[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])[C@@]1([H])/C(/[H])=C(\[H])/C(/[H])=C(/C([H])([H])[H])\C(=O)N([H])C2=C(C3=C(C(=C4C(=C3C(=C2[H])O[H])C(=O)[C@@](C([H])([H])[H])(O/C(/[H])=C(\[H])/[C@@]([H])([C@@]([H])(C([H])([H])[H])[C@]([H])([C@]([H])(C([H])([H])[H])[C@@]([H])([C@]([H])(C([H])([H])[H])[C@@]1([H])O[H])O[H])OC(=O)C([H])([H])[H])OC([H])([H])[H])O4)C([H])([H])[H])O[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])[C@@]1([H])/C(/[H])=C(\[H])/C(/[H])=C(/C([H])([H])[H])\C(=O)N([H])C2=C(C3=C(C(=C4C(=C3C(=C2/C(/[H])=N/N5C([H])([H])C([H])([H])N(C([H])([H])C5([H])[H])C6([H])C([H])([H])C([H])([H])C([H])([H])C6([H])[H])O[H])C(=O)[C@@](C([H])([H])[H])(O/C(/[H])=C(\[H])/[C@@]([H])([C@@]([H])(C([H])([H])[H])[C@]([H])([C@]([H])(C([H])([H])[H])[C@@]([H])([C@]([H])(C([H])([H])[H])[C@@]1([H])O[H])O[H])OC(=O)C([H])([H])[H])OC([H])([H])[H])O4)C([H])([H])[H])O[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C1=C([H])C2=NC3=C(C4=C(C5=C(C(=C6C(=C53)C(=O)[C@@](C([H])([H])[H])(O/C(/[H])=C(\[H])/[C@@]([H])([C@@]([H])(C([H])([H])[H])[C@]([H])([C@]([H])(C([H])([H])[H])[C@@]([H])([C@]([H])(C([H])([H])[H])[C@]([H])([C@@]([H])(C([H])([H])[H])/C(/[H])=C(\[H])/C(/[H])=C(/C([H])([H])[H])\C(=O)N4[H])O[H])O[H])OC(=O)C([H])([H])[H])OC([H])([H])[H])O6)C([H])([H])[H])O[H])O[H])N2C([H])=C1[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C1([H])([H])C([H])([H])C1([H])C([H])(C2([H])C([H])([H])C2([H])[H])N([H])C3=NC([H])([H])C([H])([H])O3
,High (Class III),,"1N,2Y",C([H])([H])([H])C1=C(C(=C([H])C(=C1[H])/C(/[H])=C(\[H])/C#N)C([H])([H])[H])N([H])C2=C([H])C([H])=NC(=N2)N([H])C3=C([H])C([H])=C(C([H])=C3[H])C#N
,High (Class III),,"1N,2N,3Y,4N",C1([H])=C([H])C2=C(C([H])=C1OC(F)(F)F)SC(=N2)N([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23N,24N,25N,26N,22N,33N",C([H])([H])([H])C([H])(C12C([H])([H])C3([H])C([H])([H])C([H])(C([H])([H])C([H])(C3([H])[H])C1([H])[H])C2([H])[H])N([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C1([H])=C([H])C(=C(C(=C1[H])[C@]2([H])C([H])([H])C([H])([H])[C@]([H])(C3=NC([H])=C([H])C([H])=C3[C@@]2([H])N([H])[H])OC(=O)N4C([H])([H])C([H])([H])C([H])(C([H])([H])C4([H])[H])N5C6=C([H])C([H])=C([H])N=C6N([H])C5=O)F)F
,High (Class III),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23N,24N,25N,26N,22N,33N",C([H])([H])([H])C([H])([H])C(=O)[C@@]1(C([H])([H])[H])[C@]([H])(C([H])([H])[H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])=C([H])[C@]4(C([H])([H])[H])[C@@]3([H])[C@]([H])(C([H])([H])[C@@]21C([H])([H])[H])O[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C1=C(C2=C([H])C([H])=C(C([H])=C2[H])Cl)N(C3=C([H])C([H])=C(C([H])=C3Cl)Cl)N=C1C(=O)N([H])N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])N(C1=C(N([H])[H])N=C(C2=NN(C([H])([H])C3=C(C([H])=C([H])C([H])=C3[H])F)C4=C2C([H])=C([H])C([H])=N4)N=C1N([H])[H])C(=O)OC([H])([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C([H])([H])N1C2=C(C([H])=C(C3=C(C([H])=C(C(=C3[H])N([H])C(=O)N([H])C4=C([H])C([H])=C([H])C([H])=C4[H])F)Br)C1=O)C([H])=NC(=C2[H])N([H])C([H])([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C1=C([H])C(=NN2C([H])=C(C([H])([H])[H])N=C12)C3=C([H])C(=O)N4C([H])=C(C([H])=C([H])C4=N3)N5C([H])([H])C([H])([H])N([H])C6(C([H])([H])C6([H])[H])C5([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C1([H])=C([H])N=C([H])C(=C1[H])C([H])([H])C(O[H])(P(=O)(O[H])O[H])P(=O)(O[H])O[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])C1=C(C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])(C([H])([H])C2([H])[H])C3=NOC4=C3C([H])=C([H])C(=C4[H])F)C(=O)N5C([H])([H])C([H])([H])C([H])([H])C([H])([H])C5=N1
,High (Class III),,"1N,2N,3N,5N,6N,7N,16N,17N,19Y,20N,22N,33N",C([H])([H])(C(=O)O[H])SC([H])(SC([H])([H])C(=O)O[H])SC([H])([H])C(=O)O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28Y,29N,33N",C([H])([H])([H])[C@]([H])([C@]([H])(C1=C([H])C([H])=C(C([H])=C1[H])O[H])O[H])N([H])C([H])([H])C([H])([H])C2=C([H])C([H])=C(C([H])=C2[H])O[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])C([H])(C([H])([H])[H])[C@@]([H])(C(=O)N([H])[C@@]([H])(C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])[C@@]([H])([C@]([H])(C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2[H])N([H])C(=O)OC([H])([H])C3=C([H])N=C([H])S3)O[H])N([H])C(=O)N(C([H])([H])[H])C([H])([H])C4=C([H])SC(=N4)C([H])(C([H])([H])[H])C([H])([H])[H]
,High (Class III),,"1N,2N,3Y,4N",C1([H])=C(C([H])=C([H])C(=C1[H])N2C([H])([H])[C@]([H])(C([H])([H])N([H])C(=O)C3=C([H])C([H])=C(Cl)S3)OC2=O)N4C([H])([H])C([H])([H])OC([H])([H])C4=O
,Low (Class I),,"1N,2N,3N,5N,6N,7N,16N,17N,19N,23Y,27Y,28N,30N,18N",C([H])([H])([H])C([H])([H])N(C([H])([H])[H])C(=O)OC1=C([H])C(=C([H])C([H])=C1[H])[C@]([H])(C([H])([H])[H])N(C([H])([H])[H])C([H])([H])[H]
,High (Class III),,"1N,2N,3N,5N,6N,7Y,8N,10N,11Y,33N",C([H])([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])C1=C([H])N([H])C2=C1C([H])=C(C([H])=C2[H])C([H])([H])N3C([H])=NC([H])=N3
,High (Class III),,"1N,2Y",C([H])([H])=C([H])C([H])([H])[N+]1(C([H])([H])C([H])([H])C([H])([H])C1([H])[H])[C@@]2([H])C([H])([H])[C@@]3([H])[C@]4([H])C([H])([H])C([H])([H])[C@@]5([H])C([H])([H])[C@@]([H])([C@]([H])(C([H])([H])[C@]5(C([H])([H])[H])[C@@]4([H])C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])[C@@]2([H])OC(=O)C([H])([H])[H])N6C([H])([H])C([H])([H])OC([H])([H])C6([H])[H])O[H]
,High (Class III),,"1N,2N,3Y,4N",C([H])([H])([H])S(=O)(=O)C1=C([H])C([H])=C(C([H])=C1[H])C2=C(C3=C([H])C([H])=C([H])C([H])=C3[H])C(=O)OC2([H])[H]
